GENE,fA,fC,fG,fT,rAC,rAG,rAT,rCG,rCT,rGT,ALPH,NDAP,SAME_SEQ1,SAME_SEQ2,SEED,SECS
0517,"18_0_0,1_0_0,11_0_0","14_0_0,2_0_0,9_0_0",17,990147059,0.334,0.205,0.106,0.355,0,0.200868,1.548404,4.528101,0.000100,0.948009,0.734182,1.000000,1.768519
0518,"11_1_0,11_1_0,14_0_0","11_0_0,9_0_0,18_0_0",24,476942045,0.379,0.132,0.247,0.241,0,2.261033,10.511903,13.978941,7.355438,1.928580,18.458988,1.000000,1.231549
0519,"9_0_0","11_0_0",20,739219098,0.194,0.164,0.264,0.378,0,0.447209,4771.776933,3854.468071,4489.408663,2413.050628,5426.974522,1.000000,0.732524
0520,"18_0_0,2_1_0,15_0_0,1_0_0,11_0_0","14_0_0,1_1_0,22_0_0,2_0_0,9_0_0",24,919987935,0.208,0.218,0.235,0.338,0,2.511385,3.052615,4.121210,0.913859,1.877167,2.628578,1.000000,0.806180
0521,"18_0_0,11_1_0,14_1_0","14_0_0,9_1_0,18_1_0",24,235557411,0.304,0.162,0.107,0.427,0,1.627375,1.548259,4.778910,0.130806,5.515500,2.030593,1.000000,3.277542
0522,"2_0_0","1_0_0",21,472010974,0.429,0.203,0.197,0.171,0,0.642529,0.130991,1.263238,0.400146,0.000100,2.783990,1.000000,5.048519
0523,"1_0_0","2_0_0",22,383907285,0.317,0.171,0.192,0.320,0,0.935914,4.156402,2.902060,0.547351,5.211167,6.407770,1.000000,0.454377
0524,"18_0_0,11_0_0","14_0_0,9_0_0",24,86702970,0.237,0.243,0.229,0.291,0,0.742301,11.655739,61.490287,11.961647,24.741472,36.345271,1.000000,2.572688
0525,"23_0_0,18_0_0,1_0_0,4_0_0","17_0_0,14_0_0,2_0_0,7_0_0",23,217602511,0.219,0.136,0.292,0.353,0,1.234231,22.783591,12.019776,4.091875,5.252959,19.389154,1.000000,0.936462
0526,"2_2_0,24_0_0,1_0_0,11_0_0","1_2_0,20_0_0,2_0_0,9_0_0",22,663118966,0.373,0.116,0.360,0.151,0,1.090753,2.387421,3.622329,2.310332,3.302687,18.696156,1.000000,1.307930
0527,"6_1_0,18_0_0,19_0_0,11_1_0,11_0_0","21_1_0,14_0_0,22_0_0,9_1_0,9_0_0",17,915671830,0.257,0.234,0.324,0.185,0,0.598476,2.131083,3.441593,11.321069,2.570209,10.900547,1.000000,2.531113
0528,"9_2_0,9_2_0,9_2_0,18_3_0","11_2_0,11_0_0,9_0_0,14_3_0",23,601610355,0.260,0.319,0.187,0.235,0,0.742230,1156.621134,3099.713505,1641.430467,662.339236,996.829984,1.000000,1.810226
0529,"18_0_0,18_0_0,15_0_0,1_0_0,11_0_0","24_0_0,14_0_0,22_0_0,2_0_0,9_0_0",22,118007312,0.276,0.258,0.238,0.227,0,0.576933,1.816499,2.177959,1.351828,2.087186,14.646675,1.000000,2.010487
0530,"18_0_0","14_0_0",23,756273223,0.418,0.148,0.200,0.234,0,0.625830,7.344415,6.797060,0.786943,8.483572,10.010169,1.000000,2.402890
0531,"18_2_0,19_0_0,24_2_0,18_0_0,18_0_0,18_3_0","14_2_0,15_0_0,20_2_0,20_0_0,14_0_0,14_3_0",24,309186750,0.277,0.239,0.223,0.261,0,1.543786,0.765782,4.153651,0.713810,0.913554,3.992758,1.000000,1.543312
0532,"4_0_0,11_0_0","7_0_0,9_0_0",20,954078800,0.266,0.167,0.233,0.334,0,0.606893,2.854433,4.862685,2.848317,0.000100,2.384343,1.000000,0.980997
0533,"23_0_0,18_0_0,4_0_0","17_0_0,14_0_0,7_0_0",21,965410329,0.249,0.302,0.239,0.210,0,0.563347,31.725686,206.150773,42.524980,75.596018,158.546309,1.000000,1.304490
0534,"25_2_0,2_0_0,1_1_0","25_0_0,1_0_0,2_1_0",23,708604135,0.341,0.286,0.067,0.307,0,0.906061,0.767443,13.836172,0.551121,3.793295,1.926631,1.000000,0.954383
0535,"1_0_0","2_0_0",23,197763724,0.347,0.198,0.210,0.246,0,0.513617,1.287752,0.833668,0.330668,1.755102,3.762175,1.000000,4.043963
0536,"23_0_0,18_0_0,1_0_0,11_0_0","17_0_0,14_0_0,2_0_0,9_0_0",22,108254402,0.284,0.248,0.139,0.328,0,0.593306,5.288535,15.072202,0.000100,0.973323,8.168766,1.000000,2.285048
0537,"18_0_0,2_1_0,4_0_0,1_0_0,11_0_0","14_0_0,1_1_0,7_0_0,2_0_0,9_0_0",22,823311324,0.294,0.310,0.161,0.234,0,0.556226,0.231408,1.229213,0.000100,0.975818,1.028882,1.000000,1.895436
0538,"18_0_0,11_0_0,14_1_0","14_0_0,9_0_0,18_1_0",22,183033834,0.446,0.103,0.286,0.165,0,0.709091,6.369220,1.790144,0.489760,0.000100,31.214136,1.000000,1.262514
0539,"18_2_0,18_1_0,15_0_0,18_0_0,11_0_0,1_0_0","14_2_0,14_1_0,22_0_0,14_0_0,9_0_0,2_0_0",22,115170990,0.282,0.148,0.296,0.274,0,0.279591,18.261819,19.240540,3.398041,11.604100,10.189166,1.000000,5.215394
0540,"18_0_0,1_0_0,11_0_0","14_0_0,1_1_0,9_0_0",19,627635519,0.214,0.238,0.214,0.333,0,0.305552,2.323099,7.520607,0.013886,0.560793,1.850051,1.000000,0.814074
0541,"23_0_0,18_0_0,24_0_0,1_0_0,11_0_0","23_2_0,14_0_0,20_0_0,2_0_0,9_0_0",21,595801310,0.357,0.236,0.203,0.204,0,0.539352,1.048527,3.390795,3.771658,3.016465,3.783653,1.000000,1.721323
0542,"24_2_0,24_2_0,1_0_0","24_0_0,20_0_0,2_0_0",21,966451370,0.219,0.329,0.271,0.181,0,2.428060,8.659902,22.511828,18.187036,0.083272,26.261250,1.000000,0.568766
0543,"25_0_0,18_0_0,1_0_0,8_0_0,11_0_0","15_0_0,14_0_0,2_0_0,22_0_0,9_0_0",20,80241121,0.315,0.208,0.238,0.238,0,0.653153,6.743278,15.208066,4.067025,6.727570,6.033297,1.000000,1.431211
0544,"NA","NA",25,799082284,0.184,0.284,0.247,0.285,0,1.194126,1.498902,3.008456,0.000100,0.325543,2.501811,1.000000,1.087015
0545,"18_0_0,1_0_0","14_0_0,2_0_0",21,640884646,0.310,0.124,0.266,0.300,0,0.486106,23.945294,8.455173,5.487435,16.043729,18.265877,1.000000,2.452976
0546,"NA","NA",22,249104935,0.280,0.203,0.243,0.274,0,0.479611,20.908595,5.620420,3.715510,4.292344,14.198011,1.000000,0.409404
0547,"23_0_0,18_0_0,1_0_0,11_0_0,11_0_0","17_0_0,14_0_0,2_0_0,9_0_0,21_0_0",22,384507152,0.150,0.238,0.172,0.440,0,0.674695,21.147005,182.087292,25.305104,2.878936,45.837576,1.000000,0.923579
0548,"19_0_0,1_0_0","19_1_0,2_0_0",24,749875367,0.360,0.160,0.209,0.271,0,2.989583,2.275996,0.886023,1.125680,5.379915,5.907715,1.000000,5.239376
0549,"20_1_0,1_0_0,14_0_0","20_0_0,2_0_0,18_0_0",21,64225253,0.341,0.251,0.088,0.320,0,0.756556,603.791333,4554.835543,800.554367,598.481631,1798.521487,1.000000,0.621957
0550,"23_0_0,14_0_0","17_0_0,18_0_0",22,618373113,0.240,0.113,0.158,0.489,0,0.862252,3991.783617,3081.647304,1047.292151,4884.391183,4856.683654,1.000000,1.078078
0551,"18_0_0,11_0_0,7_1_0","14_0_0,9_0_0,7_0_0",25,8906173,0.265,0.273,0.116,0.347,0,1.128585,0.890161,6.565878,0.392003,0.322902,2.100884,1.000000,1.523673
0552,"4_1_0,18_0_0,1_0_0","7_1_0,14_0_0,2_0_0",20,116401246,0.419,0.145,0.237,0.199,0,0.912674,0.858324,0.513978,0.103110,0.092397,3.442491,1.000000,1.628757
0553,"19_0_0,19_0_0,21_1_0,21_1_0,1_0_0","15_0_0,22_0_0,11_1_0,9_1_0,2_0_0",18,843429920,0.412,0.223,0.122,0.243,0,0.492834,0.797795,4.171846,1.177220,5.292252,4.974463,1.000000,0.652429
0554,"1_0_0,11_0_0","2_0_0,9_0_0",23,486907555,0.300,0.186,0.144,0.370,0,0.728178,113.097636,1125.745445,448.634627,538.634751,532.593896,1.000000,1.878135
0555,"21_1_0,21_1_0,11_0_0,11_0_0,23_4_0","11_1_0,9_1_0,9_0_0,21_0_0,17_4_0",23,892019512,0.372,0.157,0.163,0.308,0,0.846711,9.689073,8.039384,2.367300,9.948161,29.008237,1.000000,4.024519
0556,"18_2_0,18_0_0,15_0_0,11_0_0","14_2_0,14_0_0,22_0_0,9_0_0",19,887715238,0.435,0.076,0.160,0.329,0,0.621655,10.074059,11.892476,0.974082,21.030870,42.797462,1.000000,0.979555
0557,"2_0_0","1_0_0",23,196610814,0.268,0.228,0.286,0.218,0,2.510846,1.774004,3.225948,3.679217,0.648188,3.479697,1.000000,0.327656
0558,"19_0_0,18_4_0,18_0_0,23_4_0,11_0_0","22_0_0,14_4_0,14_0_0,17_4_0,9_0_0",21,297671624,0.287,0.195,0.157,0.361,0,0.888185,17.122766,24.202447,4.796507,5.359401,13.521316,1.000000,1.266932
0559,"21_0_0,21_0_0","11_0_0,9_0_0",22,279862886,0.306,0.256,0.171,0.267,0,0.632626,0.845388,2.109936,1.192862,1.183314,2.088405,1.000000,2.967008
0560,"18_0_0,1_0_0,10_2_0,11_1_0,11_0_0","14_0_0,2_0_0,10_0_0,9_1_0,9_0_0",21,120869146,0.359,0.143,0.281,0.217,0,0.750569,2.024679,2.637384,0.763542,1.360070,2.206190,1.000000,1.642393
0561,"19_0_0,4_3_0,1_0_0,4_2_0,11_1_0,11_0_0","22_0_0,7_3_0,2_0_0,7_2_0,9_1_0,9_0_0",18,602866867,0.290,0.143,0.284,0.283,0,0.358690,1.481112,1.466855,0.000100,0.521003,2.732460,1.000000,1.782724
0562,"18_0_0,2_1_0,1_0_0,4_0_0,11_0_0","14_0_0,1_1_0,2_0_0,7_2_0,9_0_0",23,88052112,0.268,0.292,0.165,0.275,0,0.311530,611.042916,1317.031038,1786.009217,994.530037,3151.022846,1.000000,1.974994
0563,"9_2_0,15_0_0,15_0_0,21_0_0,21_0_0,11_1_0","11_2_0,19_0_0,22_0_0,11_0_0,9_0_0,9_1_0",23,670599755,0.247,0.273,0.280,0.200,0,0.971462,3.471294,1.104397,0.000100,0.000100,3.094300,1.000000,0.629346
0565,"23_0_0,18_0_0,11_0_0,1_0_0","17_0_0,14_0_0,9_0_0,2_0_0",22,451660034,0.337,0.146,0.317,0.200,0,1.323801,5147.799195,6016.640980,2068.430771,2475.836427,20625.202451,1.000000,0.616962
0566,"18_0_0,11_0_0,1_0_0","14_0_0,9_0_0,2_0_0",20,990239951,0.280,0.240,0.177,0.302,0,0.554591,3.531377,8.659819,4.364548,3.976028,7.510608,1.000000,2.048173
0567,"18_0_0,11_0_0,4_0_0","14_0_0,9_0_0,7_0_0",24,447323525,0.349,0.178,0.235,0.238,0,0.955525,63.690615,210.377280,42.718491,84.188370,265.262466,1.000000,1.091777
0568,"11_0_0","9_0_0",22,73899886,0.166,0.288,0.355,0.190,0,0.625017,116.329470,116.329457,99.390165,14.208803,54.337737,1.000000,3.148010
0569,"18_0_0","14_0_0",25,942743878,0.198,0.245,0.211,0.346,0,1.544522,30.745413,35.262738,8.241688,2.162780,10.960046,1.000000,1.938113
0570,"18_0_0,18_0_0,4_0_0,11_0_0","24_0_0,14_0_0,7_0_0,9_0_0",21,724050908,0.337,0.189,0.191,0.283,0,0.877494,1.331176,3.578552,0.000100,2.140351,3.105082,1.000000,2.050137
0571,"15_0_0","22_0_0",19,56226193,0.273,0.255,0.225,0.247,0,0.639142,464.354269,792.123900,0.000100,0.000100,1913.151946,1.000000,0.269541
0572,"11_0_0","9_0_0",21,393301882,0.338,0.235,0.217,0.210,0,0.455909,2.282239,2.551212,1.688263,0.452953,7.228522,1.000000,1.644274
0573,"1_0_0,11_0_0","2_0_0,9_0_0",22,740808842,0.307,0.180,0.162,0.352,0,0.561480,1614.908038,3346.285254,387.753493,1360.846242,2055.213547,1.000000,1.466590
0574,"11_0_0","9_0_0",22,126356814,0.355,0.177,0.248,0.219,0,0.513821,37.430030,17.383507,5.678428,0.000100,55.402374,1.000000,4.815916
0575,"9_2_0,18_0_0,21_0_0,1_0_0","11_2_0,14_0_0,11_0_0,2_0_0",21,518803003,0.298,0.176,0.156,0.370,0,0.780295,34.025609,66.578354,7.392081,37.683891,29.066599,1.000000,3.237782
0576,"12_1_0,9_2_0,18_0_0,24_0_0,11_0_0,11_1_0","19_1_0,11_2_0,14_0_0,20_0_0,9_0_0,9_1_0",20,882784458,0.366,0.176,0.194,0.264,0,0.258006,5215.040989,3108.499265,2237.627442,8715.166090,10228.626197,1.000000,3.657261
0577,"18_0_0,4_0_0,11_1_0","14_0_0,7_0_0,9_1_0",23,446012267,0.226,0.288,0.248,0.238,0,0.693536,2.545253,2.751645,0.340545,0.758117,5.218882,1.000000,3.282612
0578,"23_0_0,2_1_0,1_0_0,11_0_0","17_0_0,1_1_0,2_0_0,9_0_0",25,847825740,0.262,0.148,0.166,0.424,0,0.737776,3.901731,8.123132,0.373836,0.000100,1.988343,1.000000,1.878094
0579,"23_1_0,24_1_0,23_0_0,1_0_0,11_1_0,11_0_0","17_1_0,20_1_0,17_0_0,2_0_0,9_1_0,9_0_0",18,572565041,0.374,0.115,0.245,0.266,0,0.282810,5.485403,3.222452,0.876236,0.000100,3.456170,1.000000,2.221435
0580,"15_1_0,1_0_0,11_0_0","15_0_0,2_0_0,9_0_0",24,913978741,0.271,0.188,0.199,0.342,0,1.204801,2.094257,3.458051,0.269310,0.476801,2.216557,1.000000,1.946160
0581,"15_0_0,11_0_0","22_0_0,9_0_0",22,381367773,0.367,0.272,0.133,0.228,0,0.436242,1.031419,4.825027,1.842550,2.050361,7.161921,1.000000,1.352453
0582,"15_0_0,9_0_0","22_0_0,11_0_0",24,649785267,0.265,0.349,0.122,0.263,0,2.018981,4.262506,20.655348,3.889020,7.861772,12.756921,1.000000,0.788421
0583,"15_0_0,2_2_0,1_0_0,11_0_0","22_0_0,1_2_0,2_0_0,9_0_0",25,48362611,0.336,0.160,0.137,0.367,0,1.808201,1.756080,3.314593,0.521180,0.081049,4.636682,1.000000,1.115577
0584,"15_0_0,18_0_0,1_0_0,11_0_0,14_1_0","22_0_0,14_0_0,2_0_0,9_0_0,18_1_0",25,166927715,0.311,0.190,0.199,0.301,0,0.975330,3.561783,4.103118,1.310396,1.857762,8.197138,1.000000,1.970919
0585,"19_0_0,18_0_0,2_1_0,2_2_0,1_0_0,11_0_0","22_0_0,14_0_0,1_1_0,1_2_0,2_0_0,9_0_0",20,340062490,0.215,0.187,0.203,0.396,0,0.370601,0.000100,3.210330,0.511949,1.078460,2.960450,1.000000,2.165594
0586,"19_0_0","15_0_0",23,974879728,0.221,0.215,0.242,0.322,0,0.367262,6.620354,23.474044,7.710875,5.796730,10.552737,1.000000,2.648672
0587,"11_0_0","9_0_0",25,802823931,0.195,0.318,0.252,0.235,0,0.816247,263.000321,1959.267112,414.975150,300.131714,737.939617,1.000000,4.565016
0588,"18_0_0,18_0_0,18_0_0,11_0_0","24_0_0,20_0_0,14_0_0,9_0_0",25,568875363,0.278,0.190,0.270,0.262,0,2.250332,6.286054,18.267225,2.056723,3.039486,9.970438,1.000000,1.962939
0589,"1_0_0,14_0_0","2_0_0,18_0_0",23,210729849,0.502,0.197,0.151,0.151,0,1.238384,1.319454,6.694004,2.587047,0.169791,6.106846,1.000000,0.499381
0590,"18_0_0,15_0_0,11_0_0","14_0_0,22_0_0,9_0_0",24,210247407,0.392,0.170,0.248,0.190,0,1.564104,27.731250,54.422369,10.055169,23.675796,61.559433,1.000000,1.002083
0591,"18_0_0,1_0_0","14_0_0,2_0_0",24,681804389,0.180,0.213,0.202,0.405,0,1.002614,6.838158,4.482969,0.000100,0.913479,2.397105,1.000000,1.037531
0592,"23_0_0,23_0_0,21_0_0","17_0_0,17_2_0,11_0_0",23,455014108,0.262,0.229,0.222,0.287,0,0.555391,1.172938,14.131191,1.097008,1.508077,14.307292,1.000000,2.276931
0593,"NA","NA",23,876933907,0.307,0.225,0.297,0.170,0,1.057930,0.308905,1.406688,0.725540,1.026671,1.663186,1.000000,0.709485
0594,"4_1_0,18_0_0,15_0_0,22_2_0,11_1_0,11_0_0,11_0_0","7_1_0,14_0_0,22_0_0,15_2_0,9_1_0,9_0_0,21_0_0",19,545571023,0.198,0.254,0.335,0.214,0,0.338311,0.000100,7678.137265,5871.661169,1834.148959,11074.768958,1.000000,2.636108
0595,"18_0_0,2_1_0,2_2_0,2_2_0,2_2_0,4_0_0,11_0_0","14_0_0,1_1_0,1_2_0,1_0_0,2_0_0,7_0_0,9_0_0",23,770782211,0.319,0.169,0.257,0.255,0,0.842326,1.227584,3.197847,1.184510,1.866732,5.495322,1.000000,1.965073
0596,"9_0_0,1_0_0,4_0_0","11_0_0,2_0_0,7_0_0",21,328119743,0.448,0.139,0.211,0.203,0,1.103793,0.590557,0.790655,0.095368,0.185896,6.908861,1.000000,0.685724
0597,"23_0_0,15_0_0,11_0_0","17_0_0,22_0_0,9_0_0",23,248406539,0.318,0.207,0.146,0.329,0,0.950110,0.300858,18.434023,2.622889,4.070287,9.618813,1.000000,1.311398
0598,"9_0_0,1_0_0,4_0_0","11_0_0,2_0_0,7_0_0",19,375928583,0.262,0.160,0.372,0.206,0,0.905416,3.092804,1.604967,0.111255,2.170695,3.796283,1.000000,0.294643
0599,"19_0_0,18_0_0,11_0_0","15_0_0,14_0_0,9_0_0",21,557377223,0.422,0.156,0.135,0.287,0,1.220841,6.372659,7.203143,1.126603,3.497628,8.264813,1.000000,0.678087
0600,"18_0_0,1_0_0,11_0_0","14_0_0,2_0_0,9_0_0",25,293577605,0.304,0.218,0.264,0.214,0,1.480004,1.855398,2.291101,0.835976,0.000100,4.483303,1.000000,6.734928
0601,"15_0_0,18_0_0,11_0_0,11_0_0,4_0_0,1_0_0","22_0_0,14_0_0,9_0_0,21_0_0,7_0_0,2_0_0",20,355802066,0.259,0.109,0.262,0.370,0,0.980622,6.450276,5.702529,3.585276,25.181675,46.212340,1.000000,1.015921
0602,"18_0_0,18_0_0,1_0_0","24_0_0,14_0_0,2_0_0",21,424733822,0.418,0.195,0.155,0.232,0,0.460007,1.716966,1.952412,2.138729,0.783957,4.676070,1.000000,2.138884
0603,"1_1_0,14_0_0","2_1_0,18_0_0",22,280607871,0.222,0.156,0.222,0.400,0,0.529278,4874.746898,14410.725996,4532.119284,8755.344456,14276.083960,1.000000,0.857395
0604,"2_0_0,1_1_0","1_0_0,2_1_0",22,803001786,0.325,0.247,0.210,0.217,0,0.803368,8.935831,10.106201,0.602696,2.018564,13.865146,1.000000,0.389190
0605,"2_0_0,11_0_0,1_1_0","1_0_0,9_0_0,2_1_0",21,60549552,0.343,0.160,0.240,0.258,0,2.025124,16.293576,14.342673,4.065062,4.038215,33.135712,1.000000,0.586377
0606,"9_0_0,1_0_0","11_0_0,2_0_0",23,168668875,0.428,0.179,0.254,0.139,0,1.154854,4143.502779,2396.797379,1046.621195,3902.789546,19676.355604,1.000000,0.654725
0607,"15_0_0,18_0_0,9_0_0","22_0_0,14_0_0,21_0_0",23,478837304,0.453,0.186,0.186,0.176,0,1.613663,3.336808,7.387258,2.930003,3.317391,13.954840,1.000000,0.853414
0608,"14_2_0,2_0_0","18_2_0,1_0_0",20,330638562,0.106,0.182,0.366,0.346,0,1.406616,84.094228,107.617181,145.409996,0.000100,89.921998,1.000000,0.816567
0609,"18_0_0,11_1_0,11_0_0","14_0_0,9_1_0,9_0_0",22,709094566,0.373,0.161,0.182,0.284,0,0.692690,3.934527,2.411160,0.614333,0.000100,4.901010,1.000000,2.858392
0610,"18_0_0,4_0_0,1_0_0,11_1_0,11_0_0,14_1_0","14_0_0,7_0_0,2_0_0,9_1_0,9_0_0,18_1_0",25,704994136,0.359,0.184,0.275,0.181,0,0.767231,5.121433,9.112428,4.601164,5.544348,48.038517,1.000000,6.693953
0611,"2_1_0,1_0_0","1_1_0,2_0_0",23,490974718,0.203,0.273,0.197,0.327,0,0.626743,2.790118,11.192356,0.612287,3.480534,2.634160,1.000000,1.642927
0612,"11_0_0,2_0_0","9_0_0,1_0_0",21,759795439,0.256,0.195,0.224,0.325,0,0.618924,5480.764781,4809.168182,1444.981634,5214.081368,6745.810968,1.000000,6.795157
0613,"25_0_0,25_0_0,18_0_0","11_0_0,9_0_0,14_0_0",25,38221953,0.292,0.134,0.217,0.357,0,2.577981,3.783414,4.358777,0.994017,7.529601,5.835490,1.000000,1.835583
0614,"1_0_0,11_0_0","2_0_0,9_0_0",21,225529155,0.303,0.277,0.146,0.274,0,0.639477,0.401271,2.298869,0.442643,2.611438,4.175029,1.000000,3.230661
0615,"4_1_0,18_0_0,1_0_0,11_1_0","7_1_0,14_0_0,2_0_0,9_1_0",24,300867094,0.293,0.228,0.229,0.250,0,1.222765,859.508643,347.547406,126.763348,776.420536,1111.448980,1.000000,3.107919
0616,"21_0_0,21_0_0,1_0_0,4_0_0","11_0_0,9_0_0,2_0_0,7_0_0",22,4111673,0.243,0.114,0.277,0.366,0,1.224693,22663.557871,13859.682912,1673.453347,30492.382653,17279.182151,1.000000,1.063168
0617,"18_0_0,1_0_0,11_0_0,14_1_0","14_0_0,2_0_0,9_0_0,18_1_0",24,938611415,0.312,0.195,0.134,0.359,0,1.142461,1.603823,2.237347,0.000100,0.709981,1.307779,1.000000,4.105746
0618,"11_0_0","9_0_0",23,34807422,0.237,0.226,0.317,0.220,0,0.834380,5.093615,4.751343,0.335875,0.218768,8.526615,1.000000,2.224520
0619,"1_0_0","2_0_0",22,394714832,0.365,0.105,0.256,0.273,0,0.419045,6.547518,3.193092,1.160427,1.821933,15.978261,1.000000,1.112556
0620,"14_0_0,9_0_0","18_0_0,11_0_0",19,983929029,0.189,0.147,0.261,0.404,0,0.583503,15440.389643,6418.227943,2858.886509,9695.224625,15139.148508,1.000000,1.228499
0621,"1_0_0,14_0_0","2_0_0,18_0_0",23,692794013,0.277,0.231,0.237,0.254,0,0.437273,0.000100,1.077523,0.652237,0.339567,1.060833,1.000000,0.565568
0622,"11_0_0","9_0_0",23,911100560,0.181,0.225,0.259,0.335,0,0.434182,2.177145,12.615831,1.964999,1.615777,8.360394,1.000000,2.008117
0623,"18_0_0,11_0_0,4_0_0","14_0_0,9_0_0,7_0_0",24,267191856,0.366,0.155,0.146,0.333,0,0.965793,4.430141,6.386620,0.795168,0.087570,13.055096,1.000000,1.715449
0624,"18_0_0,11_0_0,1_0_0","14_0_0,9_0_0,2_0_0",19,456178052,0.319,0.133,0.184,0.364,0,0.745014,4.675673,5.632653,0.000100,9.819028,13.081049,1.000000,5.067907
0625,"18_0_0,1_0_0","14_0_0,2_0_0",22,33622687,0.315,0.195,0.182,0.309,0,0.510987,1.042595,2.912686,0.012694,0.000100,1.623548,1.000000,0.895297
0626,"18_0_0,11_0_0,4_0_0","14_0_0,9_0_0,7_0_0",22,204475070,0.331,0.214,0.301,0.154,0,0.284001,26.181349,30.331874,24.166599,6.782607,59.264176,1.000000,3.120772
0627,"18_0_0,11_0_0","14_0_0,9_0_0",23,952458826,0.357,0.225,0.240,0.178,0,0.975281,2.036633,3.840985,2.254738,1.078024,10.485640,1.000000,0.772173
0628,"23_0_0,18_0_0,4_0_0,1_0_0,11_0_0","17_0_0,14_0_0,7_0_0,2_0_0,9_0_0",23,150140050,0.289,0.173,0.137,0.401,0,1.035983,3.083715,10.446265,2.795661,9.151221,13.997591,1.000000,1.973167
0629,"15_0_0","22_0_0",21,997423257,0.402,0.224,0.193,0.182,0,1.519042,0.299617,1.086419,0.006039,0.000100,3.338699,1.000000,2.086489
0630,"25_0_0,25_0_0,25_0_0,18_0_0,2_1_0,18_3_0,1_0_0","13_0_0,11_0_0,9_0_0,14_0_0,1_1_0,14_3_0,2_0_0",22,155791430,0.393,0.257,0.171,0.179,0,0.520068,3.434787,7.559002,1.189322,1.606560,4.009857,1.000000,2.107239
0631,"14_1_0","18_1_0",24,834126540,0.448,0.157,0.240,0.155,0,1.929174,1.488570,1.311785,0.481061,0.984271,4.851989,1.000000,1.484602
0632,"19_1_0,18_0_0,15_0_0,11_0_0","22_1_0,14_0_0,22_0_0,9_0_0",21,129709761,0.405,0.175,0.158,0.262,0,0.645769,7030.736723,8724.114740,107.397872,3687.979362,19855.419909,1.000000,0.781853
0633,"18_0_0,1_0_0,11_0_0","14_0_0,2_0_0,9_0_0",25,173579237,0.285,0.228,0.275,0.212,0,0.746646,1.922759,1.977003,1.632240,0.000100,5.718173,1.000000,1.641925
0634,"2_3_0,2_0_0,1_1_0","1_3_0,1_0_0,2_1_0",23,139239531,0.301,0.227,0.211,0.261,0,1.134194,6.324676,9.009238,8.117498,11.109615,7.008370,1.000000,1.495925
0635,"4_1_0,4_1_0,15_0_0,18_0_0,24_0_0,23_2_0,23_5_0,1_0_0,11_0_0","7_1_0,7_0_0,22_0_0,14_0_0,24_6_0,17_2_0,17_5_0,2_0_0,9_0_0",24,328516324,0.221,0.210,0.256,0.313,0,1.150887,12.259381,18.796911,8.296242,1.645660,11.485447,1.000000,9.711431
0636,"14_0_0","18_0_0",19,535079693,0.205,0.260,0.285,0.250,0,0.593758,0.524798,1.294282,0.477760,2.771152,1.410384,1.000000,0.341616
0637,"2_0_0,1_1_0","1_0_0,2_1_0",23,225822556,0.294,0.184,0.287,0.235,0,2.344702,2.839128,5.811691,1.894419,2.620780,7.428046,1.000000,0.403998
0638,"9_0_0,7_0_0","11_0_0,4_0_0",22,369365288,0.339,0.205,0.235,0.221,0,0.592013,49.277446,219.438947,96.099216,28.441935,51.982230,1.000000,0.748550
0639,"14_0_0","18_0_0",24,60795323,0.249,0.209,0.317,0.226,0,1.212651,40.267864,133.774595,111.445297,33.881180,235.753126,1.000000,0.507758
0640,"NA","NA",19,6543078,0.274,0.166,0.132,0.428,0,1.631583,11.379186,41.716417,2.057950,4.700922,19.412767,1.000000,0.336774
0641,"18_0_0,11_0_0,11_0_0,14_1_0","14_0_0,9_0_0,21_0_0,18_1_0",23,630162332,0.292,0.225,0.176,0.307,0,0.497243,1.959771,2.476421,0.932321,1.440800,6.422365,1.000000,5.158948
0642,"18_0_0,11_0_0","14_0_0,9_0_0",25,711594767,0.331,0.182,0.206,0.282,0,0.404276,189.357496,298.152141,0.000100,44.505072,836.439889,1.000000,2.613064
0643,"18_0_0,11_0_0,1_0_0","14_0_0,9_0_0,2_0_0",19,463316202,0.375,0.168,0.171,0.286,0,0.459166,1.831859,5.367322,0.801326,3.911661,4.792491,1.000000,1.652162
0644,"18_2_0,23_0_0,18_0_0,11_0_0,1_0_0","14_2_0,17_0_0,14_0_0,9_0_0,2_0_0",22,342429459,0.201,0.171,0.288,0.340,0,1.020138,2.720745,3.458637,0.861434,0.480913,2.832180,1.000000,2.965754
0645,"5_0_0,18_0_0,11_0_0,14_1_0","10_0_0,14_0_0,9_0_0,18_1_0",20,85390420,0.266,0.192,0.275,0.267,0,0.538433,0.594870,3.595058,2.424882,4.420616,2.234349,1.000000,2.437326
0646,"1_0_0,9_0_0,9_0_0,9_0_0,14_0_0","2_0_0,25_0_0,11_0_0,21_0_0,18_0_0",16,718099763,0.190,0.268,0.240,0.302,0,0.487731,13.208246,9.536725,1.830163,2.565555,4.580077,1.000000,0.946919
0647,"1_0_0,4_0_0,23_0_0","2_0_0,7_0_0,17_0_0",24,65859961,0.326,0.145,0.286,0.242,0,0.971913,3.630619,2.762265,1.495534,3.318615,6.930300,1.000000,0.686576
0648,"2_0_0","1_0_0",16,656762880,0.318,0.122,0.195,0.365,0,0.203554,4.054068,5.687756,0.043651,21.789762,20.418490,1.000000,1.970106
