GENE,fA,fC,fG,fT,rAC,rAG,rAT,rCG,rCT,rGT,ALPH,NDAP,SAME_SEQ1,SAME_SEQ2,SEED,SECS
0069,"15_1_0,15_1_0,18_0_0,15_0_0,1_0_0,11_0_0","22_1_0,19_1_0,14_0_0,22_0_0,2_0_0,9_0_0",21,887104548,0.304,0.204,0.248,0.244,0,0.431133,4.160659,10.135212,4.152220,6.131007,13.903085,1.000000,1.319198
0070,"15_0_0,11_0_0","22_0_0,9_0_0",20,629755407,0.245,0.193,0.277,0.285,0,0.474562,5.611237,7.605448,3.025926,8.433598,8.577609,1.000000,0.797073
0071,"9_0_0,2_0_0,14_0_0","11_0_0,1_0_0,18_0_0",22,285048917,0.384,0.136,0.152,0.328,0,3.275707,3.920217,2.771283,0.093920,8.911919,15.209052,1.000000,0.791303
0072,"18_0_0,4_0_0,1_0_0,11_0_0","14_0_0,7_0_0,2_0_0,9_0_0",23,742576013,0.338,0.238,0.160,0.263,0,1.013072,5145.678732,13364.755980,4494.999474,4138.933179,9520.587438,1.000000,0.993625
0073,"24_0_0,11_0_0,11_1_0,1_0_0,20_5_0","20_0_0,9_0_0,9_1_0,2_0_0,20_3_0",22,132943651,0.387,0.208,0.228,0.177,0,0.449644,2.669705,2.035379,2.906460,0.196695,4.427201,1.000000,7.531000
0074,"15_1_0,18_0_0,18_3_0,11_1_0,11_0_0","22_1_0,14_0_0,14_3_0,9_1_0,9_0_0",21,935821969,0.297,0.208,0.182,0.314,0,1.020558,1.547676,1.847211,0.133333,0.316804,1.798634,1.000000,2.055839
0075,"12_0_0,18_0_0,7_2_0","7_0_0,14_0_0,7_1_0",19,547983811,0.276,0.326,0.156,0.243,0,0.310282,0.074603,1.754952,0.048358,0.879550,0.564263,1.000000,1.494260
0076,"19_0_0,4_0_0,6_0_0,6_0_0,1_0_0","21_0_0,7_0_0,11_0_0,9_0_0,2_0_0",19,917624372,0.319,0.187,0.228,0.267,0,0.276785,5411.146261,14024.158225,9783.699603,6719.907511,31727.544220,1.000000,1.544213
0077,"18_0_0,1_0_0,4_0_0","14_0_0,2_0_0,7_0_0",24,677161051,0.269,0.145,0.217,0.369,0,0.746003,3945.568920,4122.440631,5194.427825,0.000100,1266.211732,1.000000,5.519157
0078,"18_0_0,1_0_0,11_0_0","14_0_0,2_0_0,9_0_0",23,72330966,0.219,0.352,0.166,0.262,0,0.414532,1568.032067,6928.271392,2776.377483,0.000100,4126.418276,1.000000,0.835181
0079,"18_0_0,18_0_0,11_0_0","24_0_0,14_0_0,9_0_0",24,345905449,0.261,0.157,0.264,0.318,0,0.717117,16.500419,9.301735,1.292055,6.813783,19.737238,1.000000,2.239384
0080,"4_1_0,4_1_0,15_0_0,18_0_0,21_0_0,21_0_0","4_0_0,7_0_0,22_0_0,14_0_0,11_0_0,9_0_0",21,299114579,0.342,0.136,0.298,0.224,0,1.078689,11771.779398,7434.797099,5990.359266,7451.384727,57092.165923,1.000000,1.420320
0081,"18_0_0,1_0_0,11_0_0","14_0_0,2_0_0,9_0_0",19,552381478,0.341,0.191,0.105,0.363,0,0.313745,0.293505,0.621747,0.070955,1.052541,0.577693,1.000000,1.654376
